kind,group,title,kicker,description,completeUrl,type,summary,url,linkLabel,sourcePage,sourceSection,sourceOrder,sourceKind
metadata,,Media,In The Media,"Media items preserved from the original Home page media list, including original dates and links.",complete.html#media,,,,,Home,In The Media,42,heading
group,In The Media,,,,,,Original media appearances and linked coverage.,,,Home,In The Media,42,heading
item,In The Media,"Northern Territory Indigenous language Jingili could unlock communication secret between humans and Artificial Intelligence, Canberra Times, 9-Aug-2022,",,,,In The Media,,https://www.canberratimes.com.au/story/7853492/indigenous-language-could-hold-key-for-humans-to-communicate-with-artificial-intelligence/?cs=14264,Open coverage,Home,In The Media,43,list
item,In The Media,"Northern Territory Indigenous language Jingili could unlock communication secret between humans and Artificial Intelligence, Katherine Times, 6-Aug-2022,",,,,In The Media,,https://www.katherinetimes.com.au/story/7849422/indigenous-language-could-hold-key-for-humans-to-communicate-with-artificial-intelligence/,Open coverage,Home,In The Media,46,list
item,In The Media,"National Talkblack Interview, Cairns Indigenous Community Radio Station, Bumma Bippera Media (BBM) 98.7fm, 4-Aug-2022,",,,,In The Media,,https://www.husseinabbass.net/www.bbm987.com.au,Open coverage,Home,In The Media,49,list
item,In The Media,"Australian Indigenous language used in AI breakthrough: Simple syntax translates into powerful AI commands, Information Age, Australian Computer Society, 4-Aug-2022,",,,,In The Media,,https://ia.acs.org.au/article/2022/australian-indigenous-language-used-in-ai-breakthrough.html,Open coverage,Home,In The Media,52,list
item,In The Media,"Jingulu language, Wikipedia, 3-Aug-2022,",,,,In The Media,,https://en.wikipedia.org/wiki/Jingulu_languagea,Open coverage,Home,In The Media,55,list
item,In The Media,"El idioma aborigen puede ayudar a resolver problemas de IA, 3-Aug-2022,",,,,In The Media,,https://noticias-informaticas.com/ciencia-computacion/el-idioma-aborigen-puede-ayudar-a-resolver-problemas-de-ia/,Open coverage,Home,In The Media,58,list
item,In The Media,"Australian researchers develop new communication system inspired by rare NT Aboriginal language Jingulu, ABC News, Darwin, 2-Aug-2022,",,,,In The Media,,https://www.abc.net.au/news/2022-08-02/nt-aboriginal-language-jingulu-inspires-ai-system-jswarm/101266306,Open coverage,Home,In The Media,61,list
item,In The Media,"Des chercheurs australiens développent un nouveau système de communication inspiré de la langue aborigène rare du NT Jingulu, Postsus, 1-Aug-2022,",,,,In The Media,,https://fr.postsus.com/nouvelles/836363.html,Open coverage,Home,In The Media,64,list
item,In The Media,"Lengua aborigen australiana revolucionaría la Inteligencia Artificial, Tu Manana, 26-Jul-2022,",,,,In The Media,,https://diariotumanana.com/lengua-aborigen-australiana-revolucionaria-la-inteligencia-artificial/,Open coverage,Home,In The Media,67,list
item,In The Media,"Lengua aborigen australiana podría resolver problemas de IA, El Impracial, 22-Jul-2022,",,,,In The Media,,https://www.elimparcial.com/tecnologia/Lengua-aborigen-australiana-podria-resolver-problemas-de-IA-20220722-0077.html,Open coverage,Home,In The Media,70,list
