kind,group,title,kicker,description,completeUrl,type,summary,url,linkLabel,sourcePage,sourceSection,sourceOrder,sourceKind
metadata,,Services,"University, Australian, and International Service",Service records preserved from the original Services page with source categories and dates intact.,complete.html#services,,,,,Services,Services to University,4,heading
group,Services to University,,,,,,,,,Services,Services to University,4,heading
item,Services to University,"July - 2021 to Now, Acting Deputy Head of School - People",,,,Services to University,,,,Services,Services to University,5,list
item,Services to University,"Jan - 2017 to Dec - 2018, Elected Member - UNSW Academic Board",,,,Services to University,,,,Services,Services to University,6,list
item,Services to University,"Apr - 2015 to Apr - 2018, Human Research Ethics Advisory Panel - HREA Panel A: UNSW Canberra",,,,Services to University,,,,Services,Services to University,7,list
item,Services to University,"Jan - 2015 to Dec - 2018, Elected Member - UNSW-Canberra Board",,,,Services to University,,,,Services,Services to University,8,list
item,Services to University,"Mar - 2006 to Dec - 2010, Director of the Defence and Security Applications Research Centre",,,,Services to University,,,,Services,Services to University,9,list
item,Services to University,"2008, UNSW-Canberra Professorial Promotion Committee",,,,Services to University,,,,Services,Services to University,10,list
item,Services to University,"2005, UNSW-Canberra Senior Lecturer Promotion Committee",,,,Services to University,,,,Services,Services to University,11,list
item,Services to University,"2004 - 2010, School research committee",,,,Services to University,,,,Services,Services to University,12,list
item,Services to University,2004 - 2010 School IT user group,,,,Services to University,,,,Services,Services to University,13,list
item,Services to University,"2003 - 2010, UNSW-Canberra research committee",,,,Services to University,,,,Services,Services to University,14,list
item,Services to University,2003 - 2010 School PG committee,,,,Services to University,,,,Services,Services to University,15,list
item,Services to University,"2003, HOS advisory committee",,,,Services to University,,,,Services,Services to University,16,list
item,Services to University,2003 School PG research coordinator,,,,Services to University,,,,Services,Services to University,17,list
item,Services to University,"2000 - 2004, School seminar coordinator",,,,Services to University,,,,Services,Services to University,18,list
group,Services to the Australian Community,,,,,,,,,Services,Services to the Australian Community,19,heading
item,Services to the Australian Community,"National President (2016-2019), Australian Society for Operations Research (ASOR).",,,,Services to the Australian Community,,,,Services,Services to the Australian Community,20,list
item,Services to the Australian Community,"Academic Board Member (2012-Now), Australian Graduate School of Leadership, Sydney, Australia.",,,,Services to the Australian Community,,,,Services,Services to the Australian Community,21,list
item,Services to the Australian Community,"ARC College, EMI, (2013-2015): Australian Research Council, Engineering, Mathematics, and Information Cluster.",,,,Services to the Australian Community,,,,Services,Services to the Australian Community,22,list
item,Services to the Australian Community,"REC Member (2010): Australian Research Council, Mathematics, Information and Communication, Excellence of Research Australia.",,,,Services to the Australian Community,,,,Services,Services to the Australian Community,23,list
item,Services to the Australian Community,Expert Sub-committee Member (2008): National Collaborative Research infrastructure strategy (NCRIS) expert sub-committee on Safeguarding Australia.,,,,Services to the Australian Community,,,,Services,Services to the Australian Community,24,list
item,Services to the Australian Community,"Expert Member (2008): Review Panel for DSTO Long Range Research (LRR) program, Australia.",,,,Services to the Australian Community,,,,Services,Services to the Australian Community,25,list
item,Services to the Australian Community,"Member (2007-2009): Computing Research and Education Association of Australasia (CORE) Journal and Conference Ranking Committee, Australia.",,,,Services to the Australian Community,,,,Services,Services to the Australian Community,26,list
group,Services to the International Community,,,,,,,,,Services,Services to the International Community,27,heading
item,Services to the International Community,"Founding Editor-in-Chief (2020-2022), IEEE Transactions on Artificial Intelligence.",,,,Services to the International Community,,,,Services,Services to the International Community,28,list
item,Services to the International Community,Vice-President for Technical Activities (2016-2019): The IEEE Computational Intelligence Society.,,,,Services to the International Community,,,,Services,Services to the International Community,29,list
item,Services to the International Community,"Member (2014-2017): The IEEE Computational Intelligence Society, Awards Committee.",,,,Services to the International Community,,,,Services,Services to the International Community,30,list
item,Services to the International Community,"Member (2014-2015): The IEEE Computational Intelligence Society, Distinguished Lecturer Committee.",,,,Services to the International Community,,,,Services,Services to the International Community,31,list
item,Services to the International Community,Member (2010-2015): The Air Traffic Control Association (ATCA) Publication Committee,,,,Services to the International Community,,,,Services,Services to the International Community,32,list
item,Services to the International Community,"Member (2014): The IEEE Computational Intelligence Society, Nomination Committee.",,,,Services to the International Community,,,,Services,Services to the International Community,33,list
item,Services to the International Community,"Member (2014): The IEEE Computational Intelligence Society, Best Paper in CIM Sub-Committee",,,,Services to the International Community,,,,Services,Services to the International Community,34,list
item,Services to the International Community,"Member (2012-2013): The IEEE Computational Intelligence Society, Pioneer Award Sub-Committee",,,,Services to the International Community,,,,Services,Services to the International Community,35,list
item,Services to the International Community,"Member (2010-2011): The IEEE Computational Intelligence Society, Outstanding Organization Award Sub-Committee",,,,Services to the International Community,,,,Services,Services to the International Community,36,list
item,Services to the International Community,"Chair (2013-2014) of the Emerging Technologies Technical Committee, IEEE Computational Intelligence Society.",,,,Services to the International Community,,,,Services,Services to the International Community,37,list
item,Services to the International Community,"Member (2012-2014), Industrial Systems Technical Committee, IEEE Computational Intelligence Society.",,,,Services to the International Community,,,,Services,Services to the International Community,38,list
item,Services to the International Community,Founding Chair (2003-2011): The IEEE-NN-EC Task Force on Artificial Life and Complex Adaptive Systems,,,,Services to the International Community,,,,Services,Services to the International Community,39,list
item,Services to the International Community,"Member (2007-2016), Data Mining Technical Committee, IEEE Computational Intelligence Society.",,,,Services to the International Community,,,,Services,Services to the International Community,40,list
item,Services to the International Community,"Member (2005-2016), Evolutionary Computation Technical Committee, IEEE Computational Intelligence Society.",,,,Services to the International Community,,,,Services,Services to the International Community,41,list
featured,,"July - 2021 to Now, Acting Deputy Head of School - People",,,,Services to University,,,,Services,Services to University,5,list
featured,,"National President (2016-2019), Australian Society for Operations Research (ASOR).",,,,Services to the Australian Community,,,,Services,Services to the Australian Community,20,list
featured,,"Founding Editor-in-Chief (2020-2022), IEEE Transactions on Artificial Intelligence.",,,,Services to the International Community,,,,Services,Services to the International Community,28,list
