kind,group,title,kicker,description,completeUrl,type,summary,url,linkLabel,sourcePage,sourceSection,sourceOrder,sourceKind
metadata,,About,Profile,Operationalising ethical and trustworthy decentralized human-AI ecosystems.,complete.html#about,,,,,Home,About Me,2,heading
group,About Me,,,,,,"Original profile, fellowships, research focus, and questions.",,,Home,About Me,2,heading
featured,,"I am the Founding Editor-in-Chief of the IEEE Transactions on Artificial Intelligence (IEEE-TAI), an IEEE Computational Intelligence Distinguished Lecturer (2022-2024), and a Full Professor at UNSW Canberra. My Erdos Number is 4: Hussein Abbass (coauthored MR3459093 with) Roel Leus (coauthored MR3736150 with) Yves Crama (coauthored MR2372582 with) Alan J. Hoffman (coauthored MR0565328 with) Paul Erdős I am a fellow of the Institute of Electrical and Electronics Engineers (FIEEE), Australian Computer Society (FACS), UK Operational Research Society (FORS), and the Institute of Managers and Leaders (FIML). I am also a Graduate Member of the Australian Institute of Company Directors (GAICD). I am fascinated with trusted autonomy: a field that looks at designing safe and trustworthy interaction spaces between humans and smart (Artificial-Intelligence-based) machines. My particular interest is focusing on human-swarm interaction. I focus on designing artificial and computational intelligence algorithms for the autonomy of swarm (distributed AI) systems made of UAVs, UGVs, and software swarm, and the analytics across the interaction space between the human and the swarm. More recently, I am working on quantum-bridges and their applications to AI and swarm systems.My research brings threads from artificial intelligence, cognitive science, operations research, and robotics to answer the following questions:",,,,Profile,,,,Home,"I am the Founding Editor-in-Chief of the IEEE Transactions on Artificial Intelligence (IEEE-TAI), an IEEE Computational Intelligence Distinguished Lecturer (2022-2024), and a Full Professor at UNSW Canberra. My Erdos Number is 4: Hussein Abbass (coauthored MR3459093 with) Roel Leus (coauthored MR3736150 with) Yves Crama (coauthored MR2372582 with) Alan J. Hoffman (coauthored MR0565328 with) Paul Erdős I am a fellow of the Institute of Electrical and Electronics Engineers (FIEEE), Australian Computer Society (FACS), UK Operational Research Society (FORS), and the Institute of Managers and Leaders (FIML). I am also a Graduate Member of the Australian Institute of Company Directors (GAICD). I am fascinated with trusted autonomy: a field that looks at designing safe and trustworthy interaction spaces between humans and smart (Artificial-Intelligence-based) machines. My particular interest is focusing on human-swarm interaction. I focus on designing artificial and computational intelligence algorithms for the autonomy of swarm (distributed AI) systems made of UAVs, UGVs, and software swarm, and the analytics across the interaction space between the human and the swarm. More recently, I am working on quantum-bridges and their applications to AI and swarm systems.My research brings threads from artificial intelligence, cognitive science, operations research, and robotics to answer the following questions:",3,heading
item,About Me,"I am the Founding Editor-in-Chief of the IEEE Transactions on Artificial Intelligence (IEEE-TAI), an IEEE Computational Intelligence Distinguished Lecturer (2022-2024), and a Full Professor at UNSW Canberra. My Erdos Number is 4: Hussein Abbass (coauthored MR3459093 with) Roel Leus (coauthored MR3736150 with) Yves Crama (coauthored MR2372582 with) Alan J. Hoffman (coauthored MR0565328 with) Paul Erdős I am a fellow of the Institute of Electrical and Electronics Engineers (FIEEE), Australian Computer Society (FACS), UK Operational Research Society (FORS), and the Institute of Managers and Leaders (FIML). I am also a Graduate Member of the Australian Institute of Company Directors (GAICD). I am fascinated with trusted autonomy: a field that looks at designing safe and trustworthy interaction spaces between humans and smart (Artificial-Intelligence-based) machines. My particular interest is focusing on human-swarm interaction. I focus on designing artificial and computational intelligence algorithms for the autonomy of swarm (distributed AI) systems made of UAVs, UGVs, and software swarm, and the analytics across the interaction space between the human and the swarm. More recently, I am working on quantum-bridges and their applications to AI and swarm systems.My research brings threads from artificial intelligence, cognitive science, operations research, and robotics to answer the following questions:",,,,Profile,,,,Home,"I am the Founding Editor-in-Chief of the IEEE Transactions on Artificial Intelligence (IEEE-TAI), an IEEE Computational Intelligence Distinguished Lecturer (2022-2024), and a Full Professor at UNSW Canberra. My Erdos Number is 4: Hussein Abbass (coauthored MR3459093 with) Roel Leus (coauthored MR3736150 with) Yves Crama (coauthored MR2372582 with) Alan J. Hoffman (coauthored MR0565328 with) Paul Erdős I am a fellow of the Institute of Electrical and Electronics Engineers (FIEEE), Australian Computer Society (FACS), UK Operational Research Society (FORS), and the Institute of Managers and Leaders (FIML). I am also a Graduate Member of the Australian Institute of Company Directors (GAICD). I am fascinated with trusted autonomy: a field that looks at designing safe and trustworthy interaction spaces between humans and smart (Artificial-Intelligence-based) machines. My particular interest is focusing on human-swarm interaction. I focus on designing artificial and computational intelligence algorithms for the autonomy of swarm (distributed AI) systems made of UAVs, UGVs, and software swarm, and the analytics across the interaction space between the human and the swarm. More recently, I am working on quantum-bridges and their applications to AI and swarm systems.My research brings threads from artificial intelligence, cognitive science, operations research, and robotics to answer the following questions:",3,heading
item,About Me,Artificial Intelligence - Autonomous Systems - Humans - Swarm- Trust,,,,Tagline,,,,Home,Home,1,paragraph
item,About Me,MR3459093,,,,Profile link,,https://mathscinet.ams.org/mathscinet-getitem?mr=3459093,Open link,Home,"I am the Founding Editor-in-Chief of the IEEE Transactions on Artificial Intelligence (IEEE-TAI), an IEEE Computational Intelligence Distinguished Lecturer (2022-2024), and a Full Professor at UNSW Canberra. My Erdos Number is 4: Hussein Abbass (coauthored MR3459093 with) Roel Leus (coauthored MR3736150 with) Yves Crama (coauthored MR2372582 with) Alan J. Hoffman (coauthored MR0565328 with) Paul Erdős I am a fellow of the Institute of Electrical and Electronics Engineers (FIEEE), Australian Computer Society (FACS), UK Operational Research Society (FORS), and the Institute of Managers and Leaders (FIML). I am also a Graduate Member of the Australian Institute of Company Directors (GAICD). I am fascinated with trusted autonomy: a field that looks at designing safe and trustworthy interaction spaces between humans and smart (Artificial-Intelligence-based) machines. My particular interest is focusing on human-swarm interaction. I focus on designing artificial and computational intelligence algorithms for the autonomy of swarm (distributed AI) systems made of UAVs, UGVs, and software swarm, and the analytics across the interaction space between the human and the swarm. More recently, I am working on quantum-bridges and their applications to AI and swarm systems.My research brings threads from artificial intelligence, cognitive science, operations research, and robotics to answer the following questions:",4,link
item,About Me,MR3736150,,,,Profile link,,https://mathscinet.ams.org/mathscinet-getitem?mr=3736150,Open link,Home,"I am the Founding Editor-in-Chief of the IEEE Transactions on Artificial Intelligence (IEEE-TAI), an IEEE Computational Intelligence Distinguished Lecturer (2022-2024), and a Full Professor at UNSW Canberra. My Erdos Number is 4: Hussein Abbass (coauthored MR3459093 with) Roel Leus (coauthored MR3736150 with) Yves Crama (coauthored MR2372582 with) Alan J. Hoffman (coauthored MR0565328 with) Paul Erdős I am a fellow of the Institute of Electrical and Electronics Engineers (FIEEE), Australian Computer Society (FACS), UK Operational Research Society (FORS), and the Institute of Managers and Leaders (FIML). I am also a Graduate Member of the Australian Institute of Company Directors (GAICD). I am fascinated with trusted autonomy: a field that looks at designing safe and trustworthy interaction spaces between humans and smart (Artificial-Intelligence-based) machines. My particular interest is focusing on human-swarm interaction. I focus on designing artificial and computational intelligence algorithms for the autonomy of swarm (distributed AI) systems made of UAVs, UGVs, and software swarm, and the analytics across the interaction space between the human and the swarm. More recently, I am working on quantum-bridges and their applications to AI and swarm systems.My research brings threads from artificial intelligence, cognitive science, operations research, and robotics to answer the following questions:",5,link
item,About Me,MR2372582,,,,Profile link,,https://mathscinet.ams.org/mathscinet-getitem?mr=3736150,Open link,Home,"I am the Founding Editor-in-Chief of the IEEE Transactions on Artificial Intelligence (IEEE-TAI), an IEEE Computational Intelligence Distinguished Lecturer (2022-2024), and a Full Professor at UNSW Canberra. My Erdos Number is 4: Hussein Abbass (coauthored MR3459093 with) Roel Leus (coauthored MR3736150 with) Yves Crama (coauthored MR2372582 with) Alan J. Hoffman (coauthored MR0565328 with) Paul Erdős I am a fellow of the Institute of Electrical and Electronics Engineers (FIEEE), Australian Computer Society (FACS), UK Operational Research Society (FORS), and the Institute of Managers and Leaders (FIML). I am also a Graduate Member of the Australian Institute of Company Directors (GAICD). I am fascinated with trusted autonomy: a field that looks at designing safe and trustworthy interaction spaces between humans and smart (Artificial-Intelligence-based) machines. My particular interest is focusing on human-swarm interaction. I focus on designing artificial and computational intelligence algorithms for the autonomy of swarm (distributed AI) systems made of UAVs, UGVs, and software swarm, and the analytics across the interaction space between the human and the swarm. More recently, I am working on quantum-bridges and their applications to AI and swarm systems.My research brings threads from artificial intelligence, cognitive science, operations research, and robotics to answer the following questions:",6,link
item,About Me,MR0565328,,,,Profile link,,https://mathscinet.ams.org/mathscinet-getitem?mr=565328,Open link,Home,"I am the Founding Editor-in-Chief of the IEEE Transactions on Artificial Intelligence (IEEE-TAI), an IEEE Computational Intelligence Distinguished Lecturer (2022-2024), and a Full Professor at UNSW Canberra. My Erdos Number is 4: Hussein Abbass (coauthored MR3459093 with) Roel Leus (coauthored MR3736150 with) Yves Crama (coauthored MR2372582 with) Alan J. Hoffman (coauthored MR0565328 with) Paul Erdős I am a fellow of the Institute of Electrical and Electronics Engineers (FIEEE), Australian Computer Society (FACS), UK Operational Research Society (FORS), and the Institute of Managers and Leaders (FIML). I am also a Graduate Member of the Australian Institute of Company Directors (GAICD). I am fascinated with trusted autonomy: a field that looks at designing safe and trustworthy interaction spaces between humans and smart (Artificial-Intelligence-based) machines. My particular interest is focusing on human-swarm interaction. I focus on designing artificial and computational intelligence algorithms for the autonomy of swarm (distributed AI) systems made of UAVs, UGVs, and software swarm, and the analytics across the interaction space between the human and the swarm. More recently, I am working on quantum-bridges and their applications to AI and swarm systems.My research brings threads from artificial intelligence, cognitive science, operations research, and robotics to answer the following questions:",7,link
item,About Me,Institute of Electrical and Electronics Engineers (FIEEE),,,,Profile link,,https://www.ieee.org/,Open link,Home,"I am the Founding Editor-in-Chief of the IEEE Transactions on Artificial Intelligence (IEEE-TAI), an IEEE Computational Intelligence Distinguished Lecturer (2022-2024), and a Full Professor at UNSW Canberra. My Erdos Number is 4: Hussein Abbass (coauthored MR3459093 with) Roel Leus (coauthored MR3736150 with) Yves Crama (coauthored MR2372582 with) Alan J. Hoffman (coauthored MR0565328 with) Paul Erdős I am a fellow of the Institute of Electrical and Electronics Engineers (FIEEE), Australian Computer Society (FACS), UK Operational Research Society (FORS), and the Institute of Managers and Leaders (FIML). I am also a Graduate Member of the Australian Institute of Company Directors (GAICD). I am fascinated with trusted autonomy: a field that looks at designing safe and trustworthy interaction spaces between humans and smart (Artificial-Intelligence-based) machines. My particular interest is focusing on human-swarm interaction. I focus on designing artificial and computational intelligence algorithms for the autonomy of swarm (distributed AI) systems made of UAVs, UGVs, and software swarm, and the analytics across the interaction space between the human and the swarm. More recently, I am working on quantum-bridges and their applications to AI and swarm systems.My research brings threads from artificial intelligence, cognitive science, operations research, and robotics to answer the following questions:",8,link
