kind,group,title,kicker,description,completeUrl,type,summary,url,linkLabel,sourcePage,sourceSection,sourceOrder,sourceKind
metadata,,Research,Publications and Grants,"Publications and grants preserved from the original research page, with the original source categories retained in each row.",complete.html#research,,,,,Research,Grants,9,heading
group,Publications,,,,,,"Authored Books, Selected Edited Books, Journals, Conferences, Book Chapters, Editorship, and Invited Talks.",,,Research,Authored Books,29,heading
group,Grants,,,,,,Research grants preserved from the original Grants category.,,,Research,Grants,9,heading
item,Grants,"ARC Discovery (2020-2024), Machine education for trusted multi-skilled evolutionary learners, H.A. Abbass, S. Elsawah, E. Petraki, $580K. [Project Web Site]",,,,Grants,,http://www.husseinabbass.net/DP200101211.html,Project Web Site,Research,Grants,10,list
item,Grants,"ARC Discovery (2016-2020), User-task co-adaptation for effective interactive simulation environments, H.A. Abbass, K. Merrick; KC Tan (PI); A. Bezerianos (PI), $560K. [Project Web Site]",,,,Grants,,http://www.husseinabbass.net/DP160102037.html,Project Web Site,Research,Grants,12,list
item,Grants,"ARC Discovery (2014-2016), Challenging systems to discover vulnerabilities using computational red teaming, H.A. Abbass, $399K. [Project Web Site]",,,,Grants,,http://www.husseinabbass.net/DP140102590.html,Project Web Site,Research,Grants,14,list
item,Grants,"Group of Eight Australia - Germany Joint Research Co-operation Scheme (2013-2014), Maximum entropy analysis of flow, transport, chemical reaction & human networks, (UNSW Australia team) Niven, R., Abbass, H. and Shafi, K., (Potsdam University Germany Team) Abel, M., Michael, S. and Kolski, P., $20K.",,,,Grants,,,,Research,Grants,16,list
item,Grants,"ARC LIEF (2011), Flexible architecture high-performance computing facility for the intersect consortium of New South Wales, one of 29 CIs, $500K.",,,,Grants,,,,Research,Grants,17,list
item,Grants,"ARC Linkage (2011-2013), New real-time risk indicators to improve the efficiency, environmental impact and safety of air traffic management, H.A. Abbass, C.J Lokan, G.K Aldis (PI), G.P Dunstone (PI), and R.C Butcher (PI), $315K.",,,,Grants,,,,Research,Grants,18,list
item,Grants,"ARC Discovery (2009-2011), Dual Phase Evolution in Networks, D. Green and H.A. Abbass, $360K.",,,,Grants,,,,Research,Grants,19,list
item,Grants,"ARC LIEF (2009), A high performance computing cluster and storage for the INTERSECT Consortium of NSW, one of 24 CIs, $500K.",,,,Grants,,,,Research,Grants,20,list
item,Grants,"Eurocontrol Experimental Centre (2008-2013), Using military scenarios to assess risk in civil Air Traffic Management scenarios, H.A. Abbass, M. Copland, S. Burdiken, M. Harb and C. Lokan, Euro 167K.",,,,Grants,,,,Research,Grants,21,list
item,Grants,"ARC Discovery (2006-2008), Defence and Security Risk Assessment using Agent Based Distillations, M. Barlow and H.A. Abbass, $306K.",,,,Grants,,,,Research,Grants,22,list
item,Grants,"ARC Linkage International (2005), Ensembles of Collaborative Neural Networks, H.A. Abbass and X. Yao, $15K.",,,,Grants,,,,Research,Grants,23,list
item,Grants,"ARC Networks (2004-2008), Research Network for a Secure Australia (RNSA), one of 50 CIs, $1,500K.",,,,Grants,,,,Research,Grants,24,list
item,Grants,"ARC Networks (2004-2008), Complex Open Systems Network (COSNet) , one of 50 CIs, $1,500K.",,,,Grants,,,,Research,Grants,25,list
item,Grants,"ARC Linkage (2004-2006), Scenario Driven Management in a Network Environment, D. Jarrat, T. Bossomaier, and H.A. Abbass, $513K.",,,,Grants,,,,Research,Grants,26,list
item,Grants,"ARC Centre (2003-2008), The ARC Centre for Complex Systems (ACCS) , one of 13 CIs, $5,250K.",,,,Grants,,,,Research,Grants,27,list
item,Grants,"ARC Network Seed Funding (2003), Australian Network on Security Technology Integration, one of 20 CIs, $20K.",,,,Grants,,,,Research,Grants,28,list
item,Publications,"Tang J., Leu G., and Abbass H.A. (2019). Simulation and Computational Red Teaming for Problem Solving. John Wiley & Sons, ISBN-10 1119527171, ISBN-13 9781119527176.",,,,Authored Books,,https://www.amazon.com.au/Simulation-Computational-Teaming-Problem-Solving/dp/1119527171,Open link,Research,Authored Books,30,list
item,Publications,"Liu J., Abbass H.A., and Tan K.C. (2018). Evolutionary Computation and Complex Networks. Springer International Publishing, ISBN (Hard Cover) 978-3-319-59998-4, (EBook) 978-3-319-60000-0, DOI:10.1007/978-3-319-60000-0. .",,,,Authored Books,,https://www.amazon.com.au/Evolutionary-Computation-Complex-Networks-Jing/dp/3319599984,Open link,Research,Authored Books,31,list
item,Publications,"Abbass H.A. (2015). Computational Red Teaming: Risk Analytics of Big-Data-to-Decisions Intelligent Systems. Springer International Publishing Switzerland. ISBN 978-3-319-08280-6 (Hard Cover), 978-3-319-08281-3 (EBook), ISBN-10 3319082809, DOI:10.1007/978-3-319-08281-3.",,,,Authored Books,,https://www.amazon.com/Computational-Red-Teaming-Big-Data-Decisions/dp/B01JXTFWTM/ref=asap_bc?ie=UTF8,Open link,Research,Authored Books,32,list
item,Publications,"Liu J., Green D.G., Abbass H.A. (2014). Dual Phase Evolution, Springer-Verlag, New York, ISBN 978-1-4419-8422-7 (hard cover), 978-1-4419-8423-4 (EBook), ISBN-10 1441984224, DOI:10.1007/978-1-4419-8423-4.",,,,Authored Books,,https://www.amazon.com/Phase-Evolution-Hussein-Abbass-2013-11-28/dp/B01K0S7LN0/ref=asap_bc?ie=UTF8,Open link,Research,Authored Books,33,list
item,Publications,Abbass H.A. and Hunjet R. (Ed. 2020). Shepherding UxVs for Human Swarm Teaming: An Artificial Intelligence Approach to Unmanned X Vehicles. Springer.,,,,Selected Edited Books,,https://www.amazon.com/Shepherding-UxVs-Human-Swarm-Teaming-Intelligence-ebook/dp/B08ZKH5DVK/ref=asap_bc?ie=UTF8,Open link,Research,Selected Edited Books,35,list
item,Publications,"Abbass H.A., Scholz J and Reid D. (Ed., 2018). Foundations of Trusted Autonomy. Springer. ISBN (Hard Cover) 978-3-319-64815-6 , (EBook) 978-3-319-64816-3, DOI:10.1007/978-3-319-64816-3. [Open Access, Click on the Title to download]",,,,Selected Edited Books,,https://www.amazon.com/Foundations-Trusted-Autonomy-Studies-Decision-ebook/dp/B0792B66KR/ref=asap_bc?ie=UTF8,Open link,Research,Selected Edited Books,36,list
item,Publications,"Abielmona, R., Falcon, R., Zincir-Heywood, N., and Abbass, H. (Eds) (2016). Recent Advances in Computational Intelligence in Defense and Security. Springer International Publishing. ISBN 978-3-319-26448-6 (Hard Cover), 978-3-319-26450-9 (eBook), doi:10.1007/978-3-319-26450-9. [PDF File]",,,,Selected Edited Books,,http://www.springer.com/us/book/9783319264486,Open link,Research,Selected Edited Books,37,list
item,Publications,"Abbass H.A. and Essam D.L. (Eds) Applications of Information Systems to Homeland Security and Defense, IGI publishers, USA, 2005.",,,,Selected Edited Books,,https://www.amazon.com/Applications-Information-Homeland-Security-2005-10-06/dp/B01K052Q1U/ref=asap_bc?ie=UTF8,Open link,Research,Selected Edited Books,39,list
item,Publications,"Abbass H.A., Sarker R. and Newton C. (Eds) (2002) Data Mining: A Heuristic Approach, Idea Group Publishing (USA).",,,,Selected Edited Books,,https://www.amazon.com/Data-Decision-Sciences-Action-Proceedings-ebook/dp/B074BWWYK6/ref=asap_bc?ie=UTF8,Open link,Research,Selected Edited Books,40,list
item,Publications,"Sarker R., Abbass H.A. and Newton C. (Eds) (2002) Heuristics and Optimisation for Knowledge Discovery, Idea Group Publishing (USA).",,,,Selected Edited Books,,https://www.amazon.com/Recent-Advances-Artificial-Hussein-Abbass/dp/B00Y5KK948/ref=asap_bc?ie=UTF8,Open link,Research,Selected Edited Books,41,list
