kind,group,title,kicker,description,completeUrl,type,summary,url,linkLabel,sourcePage,sourceSection,sourceOrder,sourceKind
metadata,,Team,Research Team,"Research fellows, current students, students under examination, completed theses, and alumni fellows preserved from the original team page.",complete.html#team,,,,,Team,Research Team,1,heading
group,Current Research Fellows,,,,,,,,,Team,Current Research Fellows,6,heading
group,Current Research Students,,,,,,,,,Team,Current Research Students,10,heading
group,Alumni Research Students,,,,,,Alumni research students are organised below by thesis status and degree category.,,,Team,Alumni Research Students,14,heading
group,Under Examination,,,,,,,,,Team,Under Examination,15,heading
group,PhD Theses,,,,,,,,,Team,PhD Theses,22,heading
group,DIT Theses,,,,,,,,,Team,DIT Theses,83,heading
group,MSc Theses,,,,,,,,,Team,MSc Theses,88,heading
group,CDF Honour Theses [incomplete],,,,,,,,,Team,CDF Honour Theses [incomplete],102,heading
group,Alumni Research Fellows,,,,,,,,,Team,Alumni Research Fellows,104,heading
item,Current Research Fellows,"Dr. Aya Hussein, Research Associate, Machine Education, 2020-2023",,,,Current Research Fellows,,,,Team,Current Research Fellows,7,list
item,Current Research Fellows,"Dr. Jing Liu, Research Associate, Context Aware Swarm, 2022-2023",,,,Current Research Fellows,,,,Team,Current Research Fellows,8,list
item,Current Research Fellows,"Dr. Tung Nguyen, Research Associate, Context Aware Swarm, 2022-2023",,,,Current Research Fellows,,,,Team,Current Research Fellows,9,list
item,Current Research Students,FT Ph.D. S1/2020- Daniel Baxter Explainable and Transparent Machine Cognition: Real-time Reasoning with Force Vectors for Autonomous UAV Swarm Shepherding. Principal Supervisor with Keith joiner Joint Supervisor,,,,Current Research Students,,,,Team,Current Research Students,11,list
item,Current Research Students,"PT M.Phil. S3/2019 - Shajoti Amin. The Pedagogy of Cyber Threats using Human-Swarm Shepherding. Principal Supervisor with Heba Elfiqi, Joint, and Eleni Petraki, Co-supervisor",,,,Current Research Students,,,,Team,Current Research Students,12,list
item,Current Research Students,PT Ph.D. S1/2018- Kate Yaxley Shepherding. Principal Supervisor with Keith joiner Joint Supervisor and Irina Antipov and Ian Grivell co-supervisors,,,,Current Research Students,,,,Team,Current Research Students,13,list
item,Under Examination,FT Ph.D. 2019-2023 Hung The Nguyen Apprenticeship Bootstrapping for Autonomous Aerial Shepherding of Ground Swarm. Principal Supervisor with Matthew Garratt Joint Supervisor and Lam Bui Co-supervisor,,,,Under Examination,,,,Team,Under Examination,16,list
